work_key,time_period
OL18020194W,The middle ages
OL20090688W,2019
OL20090688W,2020
OL11327987W,1980's
OL3467487W,21century
OL4215998W,1986
OL5091273W,Contemporary
OL5091273W,2005
OL3775478W,1982
OL11327957W,1986
OL11327666W,1986
OL77775W,1914-1945
OL11327953W,1980's
OL11328452W,Contemporary
OL11328452W,1988
OL4233148W,Contemporary
OL4233148W,1994
OL11277334W,Contemporary
OL3770492W,Contemporary
OL3770492W,1990
OL4233186W,1994
OL4233186W,England
OL15411754W,1979-1981
OL2705619W,1970’s
OL3770466W,1980s
OL21435W,1850
OL21435W,1835
OL3771221W,Contemporary
OL5236243W,1978
OL8315261W,20th century
OL11277333W,1985
OL152332W,19th century
OL3770467W,Contemporary
OL3770467W,1992
OL3771297W,1975
OL2959243W,Contemporary
OL3845170W,Contemporary
OL3845170W,1990
OL3775418W,1983
OL20032935W,current times
OL20032935W,21st century
OL4233169W,1990's
OL3770471W,1985
OL11762227W,1986
OL11277296W,Contemporary
OL11277296W,1977
OL3775475W,1980's
OL2959250W,Contemporary
OL3775425W,1982
OL4440535W,1984
OL8433267W,1970s-1980s
