work_key,ratings_count_1,ratings_count_2,ratings_count_3,ratings_count_4,ratings_count_5
OL18020194W,114,35,65,153,684
OL24390422W,57,12,24,36,162
OL35223328W,2,0,0,6,39
OL20808172W,5,2,4,26,25
OL34774028W,13,0,3,7,43
OL20090688W,16,6,20,40,114
OL25515697W,14,5,8,28,66
OL20564687W,3,1,3,1,12
OL27245843W,13,7,13,26,43
OL27733867W,55,11,37,79,232
OL27310398W,71,17,26,43,153
OL11327658W,1,0,6,9,13
OL2959315W,1,1,3,8,11
OL20068530W,15,10,12,29,59
OL27818823W,9,2,24,61,72
OL3775397W,0,1,2,11,7
OL11327660W,0,4,3,8,1
OL11327987W,3,2,6,4,8
OL1708087W,1,0,4,10,4
OL3759285W,1,2,5,9,13
OL4342701W,0,0,5,10,6
OL3467487W,1,2,5,4,7
OL21833211W,2,0,0,3,12
OL4215998W,2,0,4,12,11
OL5091273W,1,0,1,6,7
OL486967W,0,3,12,41,42
OL3457830W,1,1,4,3,6
OL3775449W,1,1,3,4,4
OL3775478W,0,1,6,6,4
OL6794523W,2,2,10,5,9
OL3771321W,3,1,5,4,3
OL11277304W,3,1,9,13,17
OL3759349W,2,4,5,8,5
OL3458001W,0,1,2,7,3
OL11327979W,0,1,6,9,4
OL8315359W,2,2,3,10,9
OL3457933W,1,1,2,7,10
OL11327957W,1,3,8,8,6
OL3759116W,1,1,8,10,7
OL9367818W,1,3,5,8,6
OL5236259W,2,2,6,15,14
OL11327666W,1,0,12,7,4
OL20650912W,0,2,2,7,14
OL77775W,0,0,10,6,5
OL21775531W,3,1,1,4,14
OL3759318W,0,0,5,8,7
OL27838518W,3,0,2,3,12
OL11327953W,1,0,8,5,11
OL11277315W,0,4,1,5,6
OL20018811W,8,3,7,20,41
OL3475982W,0,0,3,6,4
OL8315354W,0,1,2,10,12
OL8315362W,0,0,5,11,7
OL11328452W,0,2,6,9,8
OL4955616W,4,2,5,7,9
OL11277298W,2,0,5,10,7
OL3467485W,0,0,3,15,4
OL3294436W,0,4,2,11,6
OL3845148W,3,0,2,13,11
OL4233148W,2,2,3,6,6
OL20004814W,0,1,4,3,13
OL16014245W,28,6,17,39,100
OL2959270W,0,1,2,12,12
OL11277334W,1,2,3,10,9
OL7990767W,1,1,4,8,10
OL11327897W,1,0,2,9,7
OL8030401W,0,1,2,6,9
OL8315310W,1,0,6,7,5
OL3770492W,1,1,4,8,3
OL17850410W,15,7,22,36,82
OL4233186W,4,2,10,6,6
OL3467489W,2,3,5,4,11
OL4233175W,1,1,1,8,8
